col,qt_missing,qt_diversity,qt_max_row_class,pr_missing,pr_diversity,pr_max_row_class
identity_hash,99818,92777,5,0.5171783114427088,0.4806973912592938,2.5906064609725138e-05
record_origin,134074,3,58928,0.6946659412968575,1.5543638765835083e-05,0.30531851506437657
is_approved,0,2,192933,0.0,1.0362425843890055e-05,0.99962695266962
user_text,30328,233,15969,0.1571358254967488,0.0012072226108131915,0.08273878915054014
id_mobile,192999,7,1,0.9999689127224684,3.626849045361519e-05,5.181212921945027e-06
mobile_uuid,192999,4,3,0.9999689127224684,2.072485168778011e-05,1.5543638765835083e-05
need_asset_stop,0,2,174325,0.0,1.0362425843890055e-05,0.9032149426180669
additional_cost_center_ids,128591,260,8826,0.666257350845833,0.0013471153597057071,0.04572938524908681
needs_rescheduling,188930,3,2591,0.9788865573430741,1.5543638765835083e-05,0.013424522680759566
maint_req_priority,162745,41,15864,0.8432164969819435,0.00021242972979974612,0.08219476179373592
priority_calculated,0,62,134232,0.0,0.0003212352011605917,0.695484572938525
failure_analysis_at,184088,2825,327,0.9537991243750162,0.014636926504494703,0.001694256625476024
rework_cost,0,1,193005,0.0,5.181212921945027e-06,1.0
